tick,n_open_orders,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.27,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.26,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.26,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
120,0,20.26,20.26,20.27,20.28,20.2,20.27,20.33,6800.0,20.314705882352943,-0.04470588235294315,-1823.0
121,0,20.3,20.27,20.3,20.33,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
121,0,20.3,20.27,20.3,20.33,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
121,0,20.3,20.27,20.3,20.33,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
121,0,20.3,20.27,20.3,20.33,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
121,0,20.3,20.27,20.3,20.33,20.2,20.3,20.33,6800.0,20.314705882352943,-0.014705882352942012,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.3,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.32,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.32,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.32,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
121,0,20.32,20.32,20.32,20.33,20.2,20.32,20.33,6800.0,20.314705882352943,0.005294117647057561,-1823.0
122,0,20.22,20.2,20.23,20.25,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
122,0,20.22,20.2,20.23,20.25,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
122,0,20.22,20.2,20.23,20.25,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
122,0,20.22,20.2,20.23,20.25,20.2,20.23,20.33,6800.0,20.314705882352943,-0.0847058823529423,-1823.0
